value,label,id,_serviceId
Coordinate Measuring Machine (CMM) artefacts,4,95,30
Gear standards,3,94,30
Hardness,6,97,30
Screw standards,2,93,30
Surface texture standards,1,92,30
Two-dimension and three-dimension instruments,5,96,30
