id,_subServiceId,label,value
271,78,1,"(Laser, length) interferometer (system, optics, refractometer)"
277,78,7,Dial-indicator tester
272,78,2,EDM instrument
276,78,6,Gauge block comparators
274,78,4,Height measuring instrument
275,78,5,"One-dimension displacement transducer or actuator (LVDT, PZT, etc.)"
273,78,3,One-dimension measuring machine
