id,_subServiceId,label,value
305,84,6,(Bevel) protractor
1090,84,8,Angular interferometer
300,84,1,Autocollimator
302,84,3,Clinometer
301,84,2,Electronic level
303,84,4,Spirit (bubble) level
306,84,7,Squareness tester
304,84,5,Theodolite
