value,label,id,_serviceId
Hand instruments,1,98,31
Layer thickness,6,103,31
Long distance,4,101,31
Not attributed 1,7,104,31
Pressure artefacts,2,99,31
Reference materials,5,102,31
Thermal expansivity,3,100,31
