id,_subServiceId,label,value
1027,257,0,"Encircled flux, fibre optic source or fibre"
1028,257,1,"Encircled flux, measuring instrument"
1029,257,2,"Mode field diameter (MFD), optical fibre"
1030,257,3,"Numerical aperture, optical fibre"
