value,label,id,_serviceId
Liquid-in-glass thermometers,4,207,53
Other measurement services,8,211,53
Other thermometers,6,209,53
Radiation thermometry,5,208,53
Resistance thermometers,2,205,53
Secondary fixed-point cells and apparatus,1,204,53
Temperature sensors with display unit,7,210,53
Thermocouples,3,206,53
