value,label,id,_serviceId
Averaged luminous intensity,7,188,48
Illuminance,4,185,48
Illuminance responsivity,2,183,48
Luminance,5,186,48
Luminance responsivity,6,187,48
Luminous exposure,8,189,48
Luminous flux,3,184,48
Luminous intensity,1,182,48
