id,_subServiceId,label,value
290,80,7,"(Surveyor, engineer, pi) tape, (geodetic) wire"
292,80,9,"Engineer or machinist scale, steel"
286,80,3,Grid plate
289,80,6,Linewidth standard
287,80,4,One-dimension grating
284,80,1,Precision line scale
285,80,2,Stage micrometer
291,80,8,Surveyor levelling rod
288,80,5,Two-dimension grating
